date	session_count	session_count_lower	session_count_upper
2009-04-29	11.9065	0.0	181.13457
2009-04-30	16.221798	0.0	206.97375
2009-05-01	17.891344	0.0	215.6227
2009-05-02	19.425486	0.0	220.43475
2009-05-03	19.007269	0.0	222.1128
2009-05-04	23.880316	0.0	228.64134
2009-05-05	19.243155	0.0	225.47705
2009-05-06	19.816387	0.0	228.75038
2009-05-07	20.070183	0.0	230.9603
2009-05-08	20.182549	0.0	232.73375
2009-05-09	20.232298	0.0	234.31667
2009-05-10	20.254326	0.0	235.8117
2009-05-11	20.264076	0.0	237.26306
2009-05-12	20.268394	0.0	238.6901
2009-05-13	20.270306	0.0	240.1014
2009-05-14	20.271152	0.0	241.50085
2009-05-15	20.271528	0.0	242.89027
2009-05-16	20.271694	0.0	244.27051
2009-05-17	20.271767	0.0	245.64204
2009-05-18	20.2718	0.0	247.00517
2009-05-19	20.271814	0.0	248.36012
2009-05-20	20.27182	0.0	249.70703
2009-05-21	20.271822	0.0	251.04608
2009-05-22	20.271824	0.0	252.3774
2009-05-23	20.271824	0.0	253.70113
2009-05-24	20.271826	0.0	255.01738
2009-05-25	20.271826	0.0	256.3263
2009-05-26	20.271826	0.0	257.628
2009-05-27	20.271826	0.0	258.9226
2009-05-28	20.271826	0.0	260.2102
2009-05-29	20.271826	0.0	261.49097
2009-05-30	20.271826	0.0	262.76495
2009-05-31	20.271826	0.0	264.03226
2009-06-01	20.271826	0.0	265.29303
2009-06-02	20.271826	0.0	266.54733
2009-06-03	20.271826	0.0	267.7953
2009-06-04	20.271826	0.0	269.037
2009-06-05	20.271826	0.0	270.27252
2009-06-06	20.271826	0.0	271.50195
2009-06-07	20.271826	0.0	272.72543
2009-06-08	20.271826	0.0	273.943
2009-06-09	20.271826	0.0	275.15472
2009-06-10	20.271826	0.0	276.36075
2009-06-11	20.271826	0.0	277.56113
2009-06-12	20.271826	0.0	278.7559
2009-06-13	20.271826	0.0	279.9452
2009-06-14	20.271826	0.0	281.12906
2009-06-15	20.271826	0.0	282.3076
2009-06-16	20.271826	0.0	283.4808
2009-06-17	20.271826	0.0	284.64883
2009-06-18	20.271826	0.0	285.81174
2009-06-19	20.271826	0.0	286.96957
2009-06-20	20.271826	0.0	288.1224
2009-06-21	20.271826	0.0	289.27026
2009-06-22	20.271826	0.0	290.41327
2009-06-23	20.271826	0.0	291.55145
2009-06-24	20.271826	0.0	292.6849
2009-06-25	20.271826	0.0	293.81363
2009-06-26	20.271826	0.0	294.93774
2009-06-27	20.271826	0.0	296.05725
2009-06-28	20.271826	0.0	297.17224
2009-06-29	20.271826	0.0	298.28275
2009-06-30	20.271826	0.0	299.38885
2009-07-01	20.271826	0.0	300.4906
2009-07-02	20.271826	0.0	301.588
2009-07-03	20.271826	0.0	302.68115
2009-07-04	20.271826	0.0	303.7701
2009-07-05	20.271826	0.0	304.85486
2009-07-06	20.271826	0.0	305.93552
2009-07-07	20.271826	0.0	307.01212
2009-07-08	20.271826	0.0	308.08466
2009-07-09	20.271826	0.0	309.15323
2009-07-10	20.271826	0.0	310.21786
2009-07-11	20.271826	0.0	311.2786
2009-07-12	20.271826	0.0	312.33548
2009-07-13	20.271826	0.0	313.38855
2009-07-14	20.271826	0.0	314.43787
2009-07-15	20.271826	0.0	315.48346
2009-07-16	20.271826	0.0	316.52533
2009-07-17	20.271826	0.0	317.56357
2009-07-18	20.271826	0.0	318.59818
2009-07-19	20.271826	0.0	319.62924
2009-07-20	20.271826	0.0	320.65674
2009-07-21	20.271826	0.0	321.68073
2009-07-22	20.271826	0.0	322.70126
2009-07-23	20.271826	0.0	323.71838
2009-07-24	20.271826	0.0	324.7321
2009-07-25	20.271826	0.0	325.74243
2009-07-26	20.271826	0.0	326.74945
2009-07-27	20.271826	0.0	327.75314
